Number of Vehicles Involved,Speed Limit (km/h),Driver Age,Hour,Is_Weekend,High_Risk_Weather,Poor_Visibility,High_Risk_Road,High_Casualty_Count,Has_Fatality,Multi_Vehicle_Accident,Risk_Score,Speed_Category_Encoded,Driver_Age_Group_Encoded,Time_Period_Encoded,Alcohol Involvement_Encoded,Driver Gender_Encoded,Weather Conditions_Foggy,Weather Conditions_Hazy,Weather Conditions_Rainy,Weather Conditions_Stormy,Road Type_State Highway,Road Type_Urban Road,Road Type_Village Road,Road Condition_Dry,Road Condition_Under Construction,Road Condition_Wet,Lighting Conditions_Dawn,Lighting Conditions_Daylight,Lighting Conditions_Dusk,Vehicle Type Involved_Bus,Vehicle Type Involved_Car,Vehicle Type Involved_Cycle,Vehicle Type Involved_Pedestrian,Vehicle Type Involved_Truck,Vehicle Type Involved_Two-Wheeler,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Season_Spring,Season_Summer,Season_Winter,Accident Location Details_Curve,Accident Location Details_Intersection,Accident Location Details_Straight Road
0.0,0.5666666666666667,0.576923076923077,0.30434782608695654,0,1,0,1,1,1,0,0.8,2,2,0,1,1,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.0,0.33333333333333337,0.9615384615384616,0.08695652173913043,0,0,0,1,0,1,0,0.4,1,3,3,1,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
0.0,0.688888888888889,0.0,0.6956521739130435,1,0,0,1,1,1,0,0.4,2,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.0,0.25555555555555554,0.326923076923077,0.21739130434782608,0,0,0,1,0,1,1,0.4,1,1,0,1,1,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0.75,0.37777777777777777,0.6923076923076924,1.0,0,1,0,1,1,1,1,0.6000000000000001,1,2,3,1,1,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.23333333333333328,0.23076923076923084,0.9130434782608695,0,1,0,0,1,1,0,0.2,1,1,3,0,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.0,0.6555555555555556,0.03846153846153849,0.0,1,1,1,1,1,1,0,0.8,2,0,3,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0.0,0.011111111111111072,0.730769230769231,0.8260869565217391,0,0,0,1,1,1,0,0.4,0,2,2,1,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,0.6777777777777777,0.21153846153846156,0.43478260869565216,0,1,0,1,1,1,1,0.6000000000000001,2,1,0,0,1,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.5,0.5888888888888889,0.11538461538461542,1.0,1,0,0,1,1,1,1,0.6000000000000001,2,0,3,1,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
